カテゴリ,タイトル,説明,開始価格,即決価格,個数,開催期間,終了時間,画像1,画像1コメント,画像2,画像2コメント,画像3,画像3コメント,商品発送元の都道府県,商品発送元の市区町村,送料負担,代金支払い,Yahoo!かんたん決済,銀行振込,銀行名1,現金書留,商品代引,その他決済方法1,商品の状態,商品の状態備考,返品の可否,返品の可否備考,入札者評価制限,自動延長,早期終了,	値下げ交渉,自動再出品,太字テキスト,背景色,贈答品アイコン,はこBOON,受け取り後決済サービス,海外発送,アフィリエイト
2084230599,2013-0880 900 8999,これは全て成功する例のみを格納しています,900,2500,1,4,19,,,,,,,山口県,鳥取市,出品者,後払い,いいえ,はい,,はい,いいえ,これでもか,新品,,返品不可,,はい,はい,はい,いいえ,0,いいえ,いいえ,いいえ,無効,いいえ,いいえ,いいえ
2084230606,2013-0880 4901655440509  kokojijij,これは全て成功する例のみを格納しています,900,2500,1,4,19,,,,,,,山口県,鳥取市,出品者,後払い,いいえ,はい,,はい,いいえ,これでもか,中古,,返品不可,,はい,はい,はい,いいえ,0,いいえ,いいえ,いいえ,無効,いいえ,いいえ,いいえ
2084230625,2013-0880 LAAG-303 闇金業者流出映像 総集編 4時間,これは全て成功する例のみを格納しています,900,2500,1,4,19,,,,,,,山口県,鳥取市,出品者,後払い,いいえ,はい,,はい,いいえ,これでもか,その他,参考にどうぞ,返品不可,,はい,はい,はい,いいえ,0,いいえ,いいえ,いいえ,無効,いいえ,いいえ,いいえ
2084230642,2013-0880 LAAG-301 レイプ狂い レイプ総集編4時間 AVレーベル,これは全て成功する例のみを格納しています,900,2500,1,6,13,,,,,,,香川県,鳥取市,出品者,後払い,はい,はい,ゆうちょ銀行＆三菱東京UFJ,はい,いいえ,これでもか,新品,参考にどうぞ,返品可,ただし、三日以内に限り,はい,いいえ,はい,いいえ,0,いいえ,いいえ,いいえ,無効,いいえ,いいえ,いいえ
2084230575,2013-0880 LHBY-032 人妻熟女の豊乳揉みセレクション AVレーベル,これは全て成功する例のみを格納しています,900,2500,1,2,13,,,,,,,香川県,鳥取市,出品者,後払い,はい,はい,ゆうちょ銀行＆三菱東京UFJ,はい,いいえ,これでもか,中古,参考にどうぞ,返品可,ただし、三日以内に限り,はい,いいえ,はい,いいえ,0,いいえ,いいえ,いいえ,無効,いいえ,いいえ,いいえ
2084230585,2013-0880  ドラッグストア mjkjjkjkjkjkjk,これは全て成功する例のみを格納しています,900,900,1,2,13,,,,,,,長崎県,鳥取市,出品者,後払い,はい,いいえ,,はい,いいえ,これでもか,その他,参考にどうぞ,返品可,ただし、三日以内に限り,はい,いいえ,はい,はい,0,いいえ,いいえ,いいえ,無効,いいえ,いいえ,いいえ
2084230642,2013-0880 LHBY-033 メス犬熟女・人妻羞恥露出PLAYコレクション ,これは全て成功する例のみを格納しています,900,900,1,7,13,,,,,,,長崎県,鳥取市,出品者,後払い,はい,いいえ,,はい,はい,これでもか,中古,参考にどうぞ,返品不可,ただし、三日以内に限り,いいえ,いいえ,いいえ,いいえ,0,いいえ,いいえ,いいえ,無効,いいえ,いいえ,いいえ
2084230598,2013-0880 LHBY-034 野外露出 総集編240分 JANコード,これは全て成功する例のみを格納しています,900,,1,7,13,,,,,,,長崎県,鳥取市,出品者,後払い,はい,いいえ,,はい,はい,これでもか,その他,参考にどうぞ,返品不可,ただし、三日以内に限り,いいえ,いいえ,いいえ,いいえ,0,いいえ,いいえ,いいえ,無効,いいえ,いいえ,いいえ
2084230599,2013-0880 SRDV-0007 女教師肉体授業上巻,これは全て成功する例のみを格納しています,900,,1,7,13,,,,,,,長崎県,鳥取市,出品者,後払い,はい,いいえ,,はい,はい,これでもか,その他,参考にどうぞ,返品不可,ただし、三日以内に限り,いいえ,いいえ,いいえ,いいえ,0,いいえ,いいえ,いいえ,無効,いいえ,いいえ,いいえ
2084230609,2013-0880 LHBY-096 妻が見てない隙に義母とヤル 3 ,これは全て成功する例のみを格納しています,900,,1,7,13,,,,,,,長崎県,鳥取市,出品者,後払い,はい,いいえ,,はい,はい,これでもか,その他,参考にどうぞ,返品不可,ただし、三日以内に限り,いいえ,いいえ,いいえ,いいえ,0,いいえ,いいえ,いいえ,無効,いいえ,いいえ,いいえ
2084230628,2013-0880 LHBY-095 私のお母さんは熟女ニューハーフ 収録時間,これは全て成功する例のみを格納しています,900,,1,7,13,,,,,,,長崎県,鳥取市,出品者,後払い,はい,いいえ,,はい,はい,これでもか,その他,参考にどうぞ,返品不可,ただし、三日以内に限り,いいえ,いいえ,いいえ,いいえ,0,いいえ,いいえ,いいえ,無効,いいえ,いいえ,いいえ
2084230640,2013-0880 LMVV-018 カバコのフェチプレイ5編 重ね履きする女の,これは全て成功する例のみを格納しています,900,,1,7,13,,,,,,,長崎県,鳥取市,出品者,後払い,はい,いいえ,,はい,はい,これでもか,その他,参考にどうぞ,返品不可,ただし、三日以内に限り,いいえ,いいえ,いいえ,いいえ,0,いいえ,いいえ,いいえ,無効,いいえ,いいえ,いいえ
